Rotulo,Direccion,CodPostal,CCAA,Provincia,Municipio,Localidad,Longitud,Latitud,FechaPvp,HoraPvp,Horario
AVIA-ACITAIN,CALLE BARRENA 19,20600,Pa#s Vasco,GIPUZKOA,Eibar,EIBAR,-2.454556,43.189972,17/09/2025,12:18,L-V: 06:00-22:00  S-D: 08:00-22:00
AVIA,CARRETERA A-2122 KM. 11,1423,Pa#s Vasco,ARABA/#LAVA,Lantar#n,PUENTELARR#/LARRAZUBI,-3.04575,42.755583,15/09/2025,10:09,L-D: 07:00-21:00
PETRONOR,PASEO AINGERU 8,20540,Pa#s Vasco,GIPUZKOA,Eskoriatza,ESKORIATZA,-2.5345,43.013833,16/09/2025,15:33,L-D: 06:00-22:00
REPSOL,CALLE ALTO DE ARMENTIA 2,1007,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.698917,42.836778,15/09/2025,12:14,L-V: 06:00-22:00  S-D: 07:00-22:00
GALP,AVENIDA HIPODROMO S/N,20160,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,ZUBIETA,-2.023,43.25425,19/09/2025,19:00,L-D: 24H
GALP,CALLE GABARRARI 22,20280,Pa#s Vasco,GIPUZKOA,Hondarribia,HONDARRIBIA,-1.794389,43.356444,19/09/2025,19:00,L-D: 07:00-23:00
GALP,AVENIDA LETXUMBORRO 81,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.819028,43.330917,19/09/2025,19:00,L-S: 08:00-22:00  D: 10:00-15:00
PETRO SWAP,CARRETERA GI-631 KM. 106,20730,Pa#s Vasco,GIPUZKOA,Azpeitia,AZPEITIA,-2.253778,43.203861,11/09/2025,10:07,L: 24H
EROSKI,AVENIDA ZUMALACARREGUI (C.C. EROSKI) S/N,1400,Pa#s Vasco,ARABA/#LAVA,Llodio,LAUDIO/LLODIO,-2.968,43.138,19/09/2025,08:04,L-S: 07:30-21:30
EROSKI,POLIGONO SUI 1 (C.C. EROSKI) 1,1213,Pa#s Vasco,ARABA/#LAVA,Ribera Baja/Erribera Beitia,RIBABELLOSA,-2.917639,42.704639,19/09/2025,08:04,L-S: 10:00-22:00
EROSKI,CALLE ZARAMAGA 1,1013,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.664278,42.860306,19/09/2025,08:04,L-D: 24H
EROSKI,CALLE GARBERA BIDEA 2,20015,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.943889,43.311194,19/09/2025,08:04,L-D: 24H
EROSKI,BARRIO MUSAKOLA S/N,20500,Pa#s Vasco,GIPUZKOA,Arrasate/Mondrag#n,ARRASATE/MONDRAGON,-2.475278,43.070694,19/09/2025,08:04,L-V: 07:00-21:30  S-D: 09:00-21:30
EROSKI,CALLE TXIKIERDI 7,20170,Pa#s Vasco,GIPUZKOA,Usurbil,USURBIL,-2.022194,43.276889,19/09/2025,08:04,L-S: 07:00-22:30  D: 10:00-21:00
CARREFOUR,POLIGONO INDUSTRIAL 201 BARRIO YURRE S/N,20212,Pa#s Vasco,GIPUZKOA,Olaberria,OLABERRIA,-2.2175,43.035056,19/09/2025,11:05,L-S: 07:00-21:00  D: 09:00-15:00
CARREFOUR,CARRETERA MADRID-IRUN KM. 469,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.876417,43.314639,19/09/2025,11:05,L-S: 07:45-21:30  D: 09:00-15:00
IBAIA ENERGY,VIAL CTRA. N102 KM347 N102,1195,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,ZUAZO DE VITORIA/ZUHATZU,-2.722278,42.829528,19/09/2025,18:04,L-D: 24H
CEPSA ,CARRETERA NACIONAL 1 KM. 3418,1195,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,SUBIJANA DE ALAVA,-2.778694,42.818944,19/09/2025,11:03,L-V: 06:00-23:00  S: 06:00-22:00  D: 06:00-23:00
CEPSA,N-240-B km 118,1510,Pa#s Vasco,ARABA/#LAVA,Arrazua-Ubarrundia,LUKO,-2.639528,42.941417,08/09/2025,02:00,L-D: 09:00-21:00
MOEVE,CARRETERA A-624 KM. 378,1450,Pa#s Vasco,ARABA/#LAVA,Amurrio,LEZAMA,-2.967611,43.031889,19/09/2025,00:00,L-D: 06:00-22:00
REPSOL,CL CIRCUITO IBILBIDEA 8 (N-1 km 455),20160,Pa#s Vasco,GIPUZKOA,Lasarte-Oria,LASARTE,-2.019028,43.257333,19/09/2025,00:00,L-D: 06:30-22:30
REPSOL,CL TRIANAS 17,1006,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.6645,42.838722,19/09/2025,20:00,L-D: 06:00-22:00
REPSOL,CR N-1 3505,1196,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,LOPIDANA,-2.712472,42.877139,19/09/2025,19:00,L-D: 24H
REPSOL,CR N-1 3505,1196,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,LOPIDANA,-2.714472,42.878694,19/09/2025,19:00,L-D: 24H
REPSOL,CARRETERA N-124 KM. 35,1212,Pa#s Vasco,ARABA/#LAVA,Labastida,SALINILLAS DE BURADON,-2.849833,42.635194,19/09/2025,00:00,L-V: 07:00-21:45  S-D: 08:00-21:45
PETRONOR,CARRETERA NACIONAL 1 KM. 437,20400,Pa#s Vasco,GIPUZKOA,Tolosa,TOLOSA,-2.068778,43.152861,19/09/2025,00:00,L-D: 06:00-22:00
